YEAR,STATES,LAT,LONG,POPULATION,AREA (KM2),DENSITY,TOTAL PC,TOTAL VC,TOTAL CRIME,UNEMPLOYMENT
1980,JOHOR,1.4854,103.366585,1646100,19166,85.88646562,8117,924,9041,3.1
1980,KEDAH,6.1184,100.3685,1119800,9500,117.8736842,5130,342,5472,3.5
1980,KELANTAN,6.125397,102.238068,895800,17100,52.38596491,1204,110,1314,4.2
1980,MELAKA,2.1944,102.2491,466800,1664,280.5288462,1775,171,1946,4.5
1980,NEGERI SEMBILAN,2.7258,101.9424,576700,6686,86.2548609,3281,426,3707,2.9
1980,PAHANG,3.8126,103.3256,802100,35965,22.30223829,2787,259,3046,3.1
1980,PENANG,5.4164,100.3327,960900,1048,916.889313,7566,1412,8978,4
1980,PERAK,4.5921,101.0901,1807700,20976,86.17944317,9008,1057,10065,5.4
1980,PERLIS,6.443589,100.216599,148600,819,181.4407814,0,0,0,4.3
1980,SELANGOR,3.0738,101.524803,1524000,8104,188.0552813,8287,1034,9321,2
1980,TERENGGANU,5.3117,103.1324,541900,13035,41.57268891,1450,65,1515,2.7
1980,SARAWAK,1.5533,110.3592,1351100,124450,10.8565689,4037,294,4331,2.4
1980,SABAH,5.420404,116.796783,1055300,73631,14.33227852,1673,272,1945,2.6
1981,JOHOR,1.4854,103.366585,1689400,19166,88.14567463,7381,844,8225,3.2
1981,KEDAH,6.1184,100.3685,1140200,9500,120.0210526,5160,310,5470,3.7
1981,KELANTAN,6.125397,102.238068,920400,17100,53.8245614,1325,129,1454,4.5
1981,MELAKA,2.1944,102.2491,472700,1664,284.0745192,2047,148,2195,4.4
1981,NEGERI SEMBILAN,2.7258,101.9424,587200,6686,87.82530661,3178,398,3576,3.1
1981,PAHANG,3.8126,103.3256,820700,35965,22.81940776,3273,294,3567,3.2
1981,PENANG,5.4164,100.3327,975400,1048,930.7251908,7374,1567,8941,3.9
1981,PERAK,4.5921,101.0901,1838400,20976,87.64302059,8482,864,9346,5.6
1981,PERLIS,6.443589,100.216599,151500,819,184.981685,0,0,0,4.7
1981,SELANGOR,3.0738,101.524803,1594700,8104,196.7793682,8138,990,9128,2.1
1981,TERENGGANU,5.3117,103.1324,560700,13035,43.01495972,1393,99,1492,2.9
1981,SARAWAK,1.5533,110.3592,1380200,124450,11.09039775,4493,347,4840,2.4
1981,SABAH,5.420404,116.796783,1119700,73631,15.20691013,1986,273,2259,2.7
1982,JOHOR,1.4854,103.366585,1734800,19166,90.51445268,6489,660,7149,3.5
1982,KEDAH,6.1184,100.3685,1161900,9500,122.3052632,4646,317,4963,3.7
1982,KELANTAN,6.125397,102.238068,946900,17100,55.37426901,1602,92,1694,4.8
1982,MELAKA,2.1944,102.2491,478800,1664,287.7403846,1810,166,1976,4
1982,NEGERI SEMBILAN,2.7258,101.9424,599000,6686,89.59018845,2880,350,3230,2.9
1982,PAHANG,3.8126,103.3256,842400,35965,23.42277214,3169,303,3472,3.4
1982,PENANG,5.4164,100.3327,990900,1048,945.5152672,6290,1188,7478,3.5
1982,PERAK,4.5921,101.0901,1867000,20976,89.0064836,8202,831,9033,5.4
1982,PERLIS,6.443589,100.216599,155000,819,189.2551893,0,0,0,4.1
1982,SELANGOR,3.0738,101.524803,1668400,8104,205.8736426,8016,1038,9054,2.2
1982,TERENGGANU,5.3117,103.1324,581400,13035,44.60299194,1586,88,1674,2.7
1982,SARAWAK,1.5533,110.3592,1410300,124450,11.33226195,4258,291,4549,2.8
1982,SABAH,5.420404,116.796783,1186400,73631,16.11277859,2215,304,2519,3
1983,JOHOR,1.4854,103.366585,1780300,19166,92.88844829,6666,766,7432,4.2
1983,KEDAH,6.1184,100.3685,1184000,9500,124.6315789,4367,337,4704,3.8
1983,KELANTAN,6.125397,102.238068,974800,17100,57.00584795,1550,109,1659,6.2
1983,MELAKA,2.1944,102.2491,484700,1664,291.2860577,1885,182,2067,2.8
1983,NEGERI SEMBILAN,2.7258,101.9424,611400,6686,91.44481005,3019,393,3412,3.8
1983,PAHANG,3.8126,103.3256,864600,35965,24.04003893,2967,304,3271,2.7
1983,PENANG,5.4164,100.3327,1006000,1048,959.9236641,6416,1243,7659,3.8
1983,PERAK,4.5921,101.0901,1891100,20976,90.15541571,8498,908,9406,5.1
1983,PERLIS,6.443589,100.216599,158400,819,193.4065934,0,0,0,3.2
1983,SELANGOR,3.0738,101.524803,1743700,8104,215.1653504,8118,1096,9214,2.3
1983,TERENGGANU,5.3117,103.1324,603100,13035,46.2677407,1452,127,1579,2.5
1983,SARAWAK,1.5533,110.3592,1440700,124450,11.57653676,4133,201,4334,5.2
1983,SABAH,5.420404,116.796783,1255100,73631,17.04580951,3426,384,3810,4.1
1984,JOHOR,1.4854,103.366585,1825900,19166,95.26766148,6864,791,7655,4.5
1984,KEDAH,6.1184,100.3685,1206000,9500,126.9473684,4165,341,4506,5.6
1984,KELANTAN,6.125397,102.238068,1002500,17100,58.62573099,1756,147,1903,5.5
1984,MELAKA,2.1944,102.2491,491100,1664,295.1322115,1723,170,1893,5.4
1984,NEGERI SEMBILAN,2.7258,101.9424,623900,6686,93.31438827,2796,334,3130,4.9
1984,PAHANG,3.8126,103.3256,888600,35965,24.70735437,2835,283,3118,4.6
1984,PENANG,5.4164,100.3327,1020900,1048,974.1412214,7321,1336,8657,3.6
1984,PERAK,4.5921,101.0901,1912400,20976,91.17086194,8769,845,9614,5.4
1984,PERLIS,6.443589,100.216599,161700,819,197.4358974,0,0,0,4.6
1984,SELANGOR,3.0738,101.524803,1822000,8104,224.8272458,8303,1259,9562,4
1984,TERENGGANU,5.3117,103.1324,625700,13035,48.00153433,1484,100,1584,6.8
1984,SARAWAK,1.5533,110.3592,1471500,124450,11.82402571,4252,208,4460,6.7
1984,SABAH,5.420404,116.796783,1325600,73631,18.00328666,4275,507,4782,6
1985,JOHOR,1.4854,103.366585,1875500,19166,97.85557759,8453,1166,9619,5.3
1985,KEDAH,6.1184,100.3685,1231000,9500,129.5789474,4177,359,4536,7.1
1985,KELANTAN,6.125397,102.238068,1032600,17100,60.38596491,1754,187,1941,6
1985,MELAKA,2.1944,102.2491,498600,1664,299.6394231,1930,185,2115,5.5
1985,NEGERI SEMBILAN,2.7258,101.9424,638400,6686,95.48309901,3254,470,3724,4.7
1985,PAHANG,3.8126,103.3256,915000,35965,25.44140136,3324,386,3710,4.3
1985,PENANG,5.4164,100.3327,1038100,1048,990.5534351,9914,2223,12137,5
1985,PERAK,4.5921,101.0901,1931400,20976,92.07665904,8915,1095,10010,6.1
1985,PERLIS,6.443589,100.216599,165800,819,202.4420024,0,0,0,7.6
1985,SELANGOR,3.0738,101.524803,1906100,8104,235.2048371,9881,1491,11372,4.7
1985,TERENGGANU,5.3117,103.1324,651800,13035,50.00383583,1427,104,1531,7.2
1985,SARAWAK,1.5533,110.3592,1503800,124450,12.0835677,4291,198,4489,7.1
1985,SABAH,5.420404,116.796783,1398700,73631,18.99607502,3753,506,4259,6.4
1986,JOHOR,1.4854,103.366585,1926400,19166,100.5113221,8842,1299,10141,6.8
1986,KEDAH,6.1184,100.3685,1256200,9500,132.2315789,4505,379,4884,8.1
1986,KELANTAN,6.125397,102.238068,1062800,17100,62.15204678,2232,214,2446,6.8
1986,MELAKA,2.1944,102.2491,505700,1664,303.90625,2129,226,2355,9.5
1986,NEGERI SEMBILAN,2.7258,101.9424,653900,6686,97.80137601,3734,523,4257,7
1986,PAHANG,3.8126,103.3256,943600,35965,26.23661894,3434,397,3831,4.9
1986,PENANG,5.4164,100.3327,1054800,1048,1006.48855,9977,1976,11953,8.4
1986,PERAK,4.5921,101.0901,1950800,20976,93.00152555,9976,1144,11120,8.7
1986,PERLIS,6.443589,100.216599,170200,819,207.8144078,0,0,0,8
1986,SELANGOR,3.0738,101.524803,1992400,8104,245.8538993,10300,1906,12206,5.7
1986,TERENGGANU,5.3117,103.1324,678300,13035,52.03682394,1842,151,1993,9.5
1986,SARAWAK,1.5533,110.3592,1539500,124450,12.37042989,4251,224,4475,9
1986,SABAH,5.420404,116.796783,1474300,73631,20.02281648,3889,559,4448,8.2
1987,JOHOR,1.4854,103.366585,1977900,19166,103.1983721,8940,1394,10334,6.3
1987,KEDAH,6.1184,100.3685,1281100,9500,134.8526316,3616,345,3961,8
1987,KELANTAN,6.125397,102.238068,1093000,17100,63.91812865,1675,136,1811,6.5
1987,MELAKA,2.1944,102.2491,513100,1664,308.3533654,2291,252,2543,8
1987,NEGERI SEMBILAN,2.7258,101.9424,668800,6686,100.0299133,3555,424,3979,7.6
1987,PAHANG,3.8126,103.3256,971000,35965,26.99847074,3200,303,3503,5.1
1987,PENANG,5.4164,100.3327,1070500,1048,1021.469466,8148,1625,9773,6.5
1987,PERAK,4.5921,101.0901,1967500,20976,93.79767353,8190,1082,9272,8
1987,PERLIS,6.443589,100.216599,174600,819,213.1868132,643,43,686,6.6
1987,SELANGOR,3.0738,101.524803,2079800,8104,256.6386969,10920,1773,12693,5.6
1987,TERENGGANU,5.3117,103.1324,704300,13035,54.03145378,774,88,862,11.7
1987,SARAWAK,1.5533,110.3592,1576300,124450,12.66613098,4303,224,4527,9.8
1987,SABAH,5.420404,116.796783,1550900,73631,21.06313917,4049,634,4683,9
1988,JOHOR,1.4854,103.366585,2031000,19166,105.9689033,9229,1517,10746,5.4
1988,KEDAH,6.1184,100.3685,1305300,9500,137.4,3134,290,3424,7.4
1988,KELANTAN,6.125397,102.238068,1123900,17100,65.7251462,1163,123,1286,7.7
1988,MELAKA,2.1944,102.2491,520600,1664,312.8605769,2088,235,2323,8.1
1988,NEGERI SEMBILAN,2.7258,101.9424,683000,6686,102.1537541,3341,402,3743,6
1988,PAHANG,3.8126,103.3256,998400,35965,27.76032254,2382,288,2670,6.2
1988,PENANG,5.4164,100.3327,1086700,1048,1036.927481,8060,1525,9585,6.7
1988,PERAK,4.5921,101.0901,1979300,20976,94.36022121,7453,1061,8514,8.1
1988,PERLIS,6.443589,100.216599,178700,819,218.1929182,748,40,788,7.6
1988,SELANGOR,3.0738,101.524803,2167000,8104,267.3988154,9782,1684,11466,5.9
1988,TERENGGANU,5.3117,103.1324,731000,13035,56.07978519,593,80,673,9.4
1988,SARAWAK,1.5533,110.3592,1614600,124450,12.97388509,4868,198,5066,10.3
1988,SABAH,5.420404,116.796783,1629700,73631,22.13334058,3479,614,4093,8.2
1989,JOHOR,1.4854,103.366585,2085300,19166,108.8020453,7118,1245,8363,4.6
1989,KEDAH,6.1184,100.3685,1328700,9500,139.8631579,2800,229,3029,5.7
1989,KELANTAN,6.125397,102.238068,1154600,17100,67.52046784,1196,133,1329,6.3
1989,MELAKA,2.1944,102.2491,527400,1664,316.9471154,1815,210,2025,6
